3. Nuevos Prod Terceros - terceros,,T2627,T2728,T2829,T2930,T3031,T3132
Talsa,ha,100,100,0,0,0,0
Diamond Bridge,ha,25,0,0,0,0,0
Año 1 producción,toneladas,,0,0,0,0,0
Año 2 producción,toneladas,,,0,0,0,0
Año 3 producción,toneladas,,,,325,260,0
Año 4 producción,toneladas,,,,,812.5,650
Año 5 producción,toneladas,,,,,,1218.75
Sub total (producción),toneladas,0,0,0,325,1072.5,1868.75
Año 1 ganancia,miles $,,5720,4576,0,0,0
Año 2 ganancia,miles $,,,8580,6864,0,0
Año 3 ganancia,miles $,,,,11440,9152,0
Año 4 ganancia,miles $,,,,,14300,11440
Año 5 ganancia,miles $,,,,,,14300
Sub total (ganancia),miles $,0,5720,13156,18304,23452,25740
