Nuevos Proyectos,,,,,,,
Variedad 1,,,,,,,
,,,,,,,
1. Crecimiento Hortifrut,,T2627,T2728,T2829,T2930,T3031,T3132
CHAO,ha,250,,,,,
OLMOS,ha,,200,,,,
Sub total (producción),toneladas,0,0,0,0,0,0
Sub total (ganancia),miles $,0,0,0,0,0,0
2. Recambio varietal,,,,,,,
CHAO,ha,,,,,,
OLMOS,ha,50,,,,,
Sub total (producción),toneladas,0,0,0,0,0,0
Sub total (ganancia),miles $,0,0,0,0,0,0
3. Nuevos Prod Terceros,,,,,,,
Talsa,ha,100,100,,,,
Diamond Bridge,ha,25,,,,,
Sub total (producción),toneladas,0,0,0,0,0,0
Sub total (ganancia),miles $,0,0,0,0,0,0
Sub total (ganancia plantines),miles $,0,0,0,0,0,0
,,,,,,,
Total,unidad,T2627,T2728,T2829,T2930,T3031,T3132
Hortifrut,,,,,,,
Total fruta,toneladas,0,0,0,0,0,0
Ganancia,miles $,0,0,0,0,0,0
Terceros,,,,,,,
Total fruta,toneladas,0,0,0,0,0,0
Ganancia,miles $,0,0,0,0,0,0
