1. Crecimiento Hortifrut,,T2627,T2728,T2829,T2930,T3031,T3132
CHAO,ha,250,0,0,0,0,0
OLMOS,ha,0,200,0,0,0,0
Año 1 producción,toneladas,,3250,2600,0,0,0
Año 2 producción,toneladas,,,4875,3900,0,0
Año 3 producción,toneladas,,,,6500,5200,0
Año 4 producción,toneladas,,,,,8125,6500
Año 5 producción,toneladas,,,,,,8125
Sub total (producción),toneladas,0,3250,7475,10400,13325,14625
Año 1 ganancia,miles $,,13000,10400,0,0,0
Año 2 ganancia,miles $,,,19500,15600,0,0
Año 3 ganancia,miles $,,,,26000,20800,0
Año 4 ganancia,miles $,,,,,32500,26000
Año 5 ganancia,miles $,,,,,,32500
Sub total (ganancia),miles $,0,13000,29900,41600,53300,58500
