2. Recambio varietal,,T2627,T2728,T2829,T2930,T3031,T3132
CHAO,ha,0,0,0,0,0,0
OLMOS,ha,50,0,0,0,0,0
Año 1 producción,toneladas,,650,0,0,0,0
Año 2 producción,toneladas,,,975,0,0,0
Año 3 producción,toneladas,,,,1300,0,0
Año 4 producción,toneladas,,,,,1625,0
Año 5 producción,toneladas,,,,,,1625
Sub total (producción),toneladas,0,650,975,1300,1625,1625
Año 1 ganancia,miles $,,2600,0,0,0,0
Año 2 ganancia,miles $,,,3900,0,0,0
Año 3 ganancia,miles $,,,,5200,0,0
Año 4 ganancia,miles $,,,,,6500,0
Año 5 ganancia,miles $,,,,,,6500
Sub total (ganancia),miles $,0,2600,3900,5200,6500,6500
