3. Nuevos Prod Terceros - HF,,T2627,T2728,T2829,T2930,T3031,T3132
Talsa,ha,100,100,0,0,0,0
Diamond Bridge,ha,25,0,0,0,0,0
Año 1 producción,toneladas,,1625,1300,0,0,0
Año 2 producción,toneladas,,,2437.5,1950,0,0
Año 3 producción,toneladas,,,,2925,2340,0
Año 4 producción,toneladas,,,,,3250,2600
Año 5 producción,toneladas,,,,,,2843.75
Sub total (producción),toneladas,0,1625,3737.5,4875,5590,5443.75
Año 1 ganancia,miles $,,780,624,0,0,0
Año 2 ganancia,miles $,,,1170,936,0,0
Año 3 ganancia,miles $,,,,1560,1248,0
Año 4 ganancia,miles $,,,,,1950,1560
Año 5 ganancia,miles $,,,,,,1950
Sub total (ganancia),miles $,0,780,1794,2496,3198,3510
Año 1 ganancia plantines,miles $,,568.75,455,0,0,0
Año 2 ganancia plantines,miles $,,,568.75,455,0,0
Año 3 ganancia plantines,miles $,,,,568.75,455,0
Año 4 ganancia plantines,miles $,,,,,568.75,455
Año 5 ganancia plantines,miles $,,,,,,568.75
Sub total (ganancia plantines),miles $,0,568.75,1023.75,1023.75,1023.75,1023.75
